Country,City1,City2,City3,City4,City5
Kenya,Nairobi,Mombasa,Kisumu,Nakuru,Eldoret
Kiribati,Tarawa,Kiritimati,Tabiteuea,Butaritari,Abanuea
Kuwait,Kuwait City,Al Ahmadi,Hawalli,As Salimiyah,Sabah as Salim
Kyrgyzstan,Bishkek,Osh,Jalal-Abad,Karakol,Tokmok
Laos,Vientiane,Pakse,Thakhek,Savannakhet,Luang Prabang
Latvia,Riga,Daugavpils,Liep_ja,Jelgava,J_rmala
Lebanon,Beirut,Tripoli,Sidon,Tyre,Nabatieh
Lesotho,Maseru,Teyateyaneng,Mafeteng,Hlotse,Maputsoe
Liberia,Monrovia,Gbarnga,Kakata,Bensonville,Harper
Libya,Tripoli,Benghazi,Misrata,Tarhuna,Al Khums
Liechtenstein,Vaduz,Schaan,Balzers,Triesen,Eschen
Lithuania,Vilnius,Kaunas,Klaip_da,_iauliai,Panev__ys
Luxembourg,Luxembourg City,Esch-sur-Alzette,Differdange,Dudelange,Ettelbruck
Madagascar,Antananarivo,Toamasina,Antsirabe,Fianarantsoa,Mahajanga
Malawi,Lilongwe,Blantyre,Mzuzu,Zomba,Karonga
Malaysia,Kuala Lumpur,George Town,Johor Bahru,Ipoh,Kuching
Maldives,Malé,Addu City,Fuvahmulah,Kulhudhuffushi,Thinadhoo
Mali,Bamako,Sikasso,Mopti,Koutiala,Ségou
Malta,Valletta,Birkirkara,Mosta,Qormi,_abbar
Marshall Islands,Majuro,Ebeye,Laura,Arno,Jaluit
Mauritania,Nouakchott,Nouadhibou,Kiffa,Kaédi,Rosso
Mauritius,Port Louis,Beau Bassin-Rose Hill,Vacoas-Phoenix,Curepipe,Quatre Bornes
Mexico,Mexico City,Guadalajara,Monterrey,Puebla,Tijuana
Micronesia,Palikir,Weno,Colonia,Tofol,Tonoas
Moldova,Chi_in_u,Tiraspol,B_l_i,Bender,Rîbni_a
Monaco,Monaco,Monte Carlo,La Condamine,Fontvieille,Moneghetti
Mongolia,Ulaanbaatar,Erdenet,Darkhan,Choibalsan,Khovd
Montenegro,Podgorica,Nik_i_,Herceg Novi,Bar,Bijelo Polje
Morocco,Casablanca,Rabat,Fes,Tangier,Marrakesh
Mozambique,Maputo,Matola,Nampula,Beira,Chimoio
Myanmar (Burma),Yangon,Mandalay,Naypyidaw,Mawlamyine,Bago
Namibia,Windhoek,Rundu,Walvis Bay,Oshakati,Swakopmund
Nauru,Yaren District,Denigomodu,Aiwo,Meneng,Buada
Nepal,Kathmandu,Pokhara,Lalitpur,Bharatpur,Biratnagar
Netherlands,Amsterdam,Rotterdam,The Hague,Utrecht,Eindhoven
New Zealand,Auckland,Wellington,Christchurch,Hamilton,Tauranga
Nicaragua,Managua,León,Masaya,Chinandega,Matagalpa
Niger,Niamey,Zinder,Maradi,Agadez,Tahoua
Nigeria,Lagos,Kano,Ibadan,Abuja,Port Harcourt
North Korea,Pyongyang,Hamhung,Nampo,Chongjin,Wonsan
North Macedonia,Skopje,Bitola,Kumanovo,Prilep,Tetovo
Norway,Oslo,Bergen,Trondheim,Stavanger,Drammen
Oman,Muscat,Seeb,Salalah,Bawshar,Sohar
Pakistan,Karachi,Lahore,Faisalabad,Rawalpindi,Multan
Palau,Koror,Airai,Melekeok,Ngaraard,Kayangel
Panama,Panama City,San Miguelito,Tocumen,David,Arraiján
Papua New Guinea,Port Moresby,Lae,Arawa,Mount Hagen,Popondetta
Paraguay,Asunción,Ciudad del Este,San Lorenzo,Capiatá,Lambare
Peru,Lima,Arequipa,Trujillo,Chiclayo,Piura
Philippines,Manila,Quezon City,Davao City,Cebu City,Zamboanga City
Poland,Warsaw,Kraków,_ód_,Wroc_aw,Pozna_
Portugal,Lisbon,Porto,Vila Nova de Gaia,Amadora,Coimbra
Qatar,Doha,Al Rayyan,Umm Salal,Al Wakrah,Al Khor
Romania,Bucharest,Cluj-Napoca,Timi_oara,Ia_i,Constan_a
Russia,Moscow,Saint Petersburg,Novosibirsk,Yekaterinburg,Kazan
Rwanda,Kigali,Butare,Gitarama,Ruhengeri,Gisenyi
Saint Kitts and Nevis,Basseterre,Charlestown,Sandy Point,Dieppe Bay,Monkey Hill
Saint Lucia,Castries,Gros Islet,Vieux Fort,Micoud,Soufrière
Saint Vincent and the Grenadines,Kingstown,Georgetown,Byera Village,Barrouallie,Chateaubelair
Samoa,Apia,Vaitele,Faleula,Leulumoega,Siusega
San Marino,San Marino,Borgo Maggiore,Serravalle,Domagnano,Fiorentino
Sao Tome and Principe,São Tomé,Santana,Neves,Trindade,Guadalupe
Saudi Arabia,Riyadh,Jeddah,Mecca,Medina,Dammam
Senegal,Dakar,Pikine,Touba,Thiès,Kaolack
Serbia,Belgrade,Novi Sad,Ni_,Kragujevac,Subotica
Seychelles,Victoria,Anse Boileau,Beau Vallon,Cascade,Anse Royale
Sierra Leone,Freetown,Bo,Kenema,Makeni,Koidu
Singapore,Singapore City,Woodlands,Tampines,Bedok,Jurong West
Slovakia,Bratislava,Ko_ice,Pre_ov,_ilina,Banská Bystrica
Slovenia,Ljubljana,Maribor,Celje,Kranj,Velenje
Solomon Islands,Honiara,Gizo,Auki,Kirakira,Buala
Somalia,Mogadishu,Hargeisa,Bosaso,Berbera,Kismayo
South Africa,Johannesburg,Cape Town,Durban,Pretoria,Port Elizabeth
South Korea,Seoul,Busan,Incheon,Daegu,Daejeon
South Sudan,Juba,Malakal,Wau,Yambio,Aweil
Spain,Madrid,Barcelona,Valencia,Seville,Zaragoza
Sri Lanka,Colombo,Kandy,Galle,Jaffna,Negombo
Sudan,Khartoum,Omdurman,Khartoum North,Port Sudan,Kassala
Suriname,Paramaribo,Lelydorp,Nieuw Nickerie,Moengo,Nieuw Amsterdam
Sweden,Stockholm,Gothenburg,Malmö,Uppsala,Västerås
Switzerland,Zürich,Geneva,Basel,Bern,Lausanne
Syria,Damascus,Aleppo,Homs,Hama,Latakia
Taiwan,Taipei,New Taipei City,Taichung,Tainan,Kaohsiung
Tajikistan,Dushanbe,Khujand,Kulob,Bokhtar,Istaravshan
Tanzania,Dar es Salaam,Mwanza,Arusha,Dodoma,Mbeya
Thailand,Bangkok,Nonthaburi,Pak Kret,Chiang Mai,Hat Yai
Togo,Lomé,Sokodé,Kara,Atakpamé,Kpalimé
Tonga,Nuku'alofa,Neiafu,Haveluloto,Vaini,Pangai
Trinidad and Tobago,Port of Spain,San Fernando,Chaguanas,Arima,Marabella
Tunisia,Tunis,Sfax,Sousse,Ettadhamen,Kairouan
Turkey,Istanbul,Ankara,Izmir,Bursa,Adana
Turkmenistan,Ashgabat,Türkmenabat,Da_oguz,Mary,Balkanabat
Tuvalu,Funafuti,Vaiaku,Fakaifou,Teone,Tanrake
Uganda,Kampala,Gulu,Lira,Mbarara,Jinja
Ukraine,Kyiv,Kharkiv,Odesa,Dnipro,Donetsk
United Arab Emirates,Dubai,Abu Dhabi,Sharjah,Al Ain,Ajman
United Kingdom,London,Birmingham,Manchester,Glasgow,Liverpool
United States,New York City,Los Angeles,Chicago,Houston,Phoenix
Uruguay,Montevideo,Salto,Ciudad de la Costa,Paysandú,Las Piedras
Uzbekistan,Tashkent,Namangan,Samarqand,Andijan,Bukhara
Vanuatu,Port Vila,Luganville,Norsup,Sola,Isangel
Vatican City,Vatican City,,,,
Venezuela,Caracas,Maracaibo,Valencia,Barquisimeto,Ciudad Guayana
Vietnam,Hanoi,Ho Chi Minh City,Haiphong,Da Nang,Biên Hòa
Yemen,Sana'a,Aden,Ta'izz,Al Hudaydah,Mukalla
Zambia,Lusaka,Kitwe,Ndola,Kabwe,Chingola
Zimbabwe,Harare,Bulawayo,Chitungwiza,Epworth,Gweru
