Airport Code,ICAO,Place
MJG,,Mayajigua
MJI,HLLM,Mitiga Tripoli Airport
MJJ,,Moki
MJK,YSHK,Shark Bay
MJL,FOGM,Mouila
MJM,FZWA,Mbuji-Mayi
MJN,FMNM,Amborovy
MJO,FYME,Mount Etjo Lodge
MJP,YMJM,Manjimup
MJQ,,Jackson
MJR,SAEM,Miramar
MJS,,Maganja Da Costa
MJT,LGMT,Mytilene International Airport
MJU,WAWJ,Tampa Padang Airport
MJV,LELC,Murcia-San Javier Airport
MJW,FVMH,Mahenye
MJX,KMJX,Robert J. Miller
MJY,,Mangunjaya
MJZ,UERR,Mirnyj Airport
MKA,LKMR,Marianske Lazne
MKB,FOOE,Mekambo
MKC,KMKC,Charles B. Wheeler Downtown Airport
MKE,KMKE,General Mitchell International Airport
MKG,KMKG,Muskegon Airport
MKH,FXMK,Mokhotlong
MKI,FEGE,Mboki
MKJ,FCOM,Makoua
MKK,PHMK,Molokai Airport
MKL,KMKL,Mckellar Airport
MKM,WBGK,Mukah Airport
MKN,AYMV,Malekolon
MKO,,Davis Field
MKP,NTGM,Makemo
MKQ,WAKK,Mopah Airport
MKR,YMEK,Meekatharra
MKS,HAMA,Mekane Selam
MKT,,Municipal
MKU,FOOK,Makokou
MKV,YMVG,Mt Cavenagh
MKW,WAUU,Rendani Airport
MKY,YBMK,Mackay Airport
MKZ,WMKM,Malacca International Airport
MLA,LMML,Malta International Airport
MLB,KMLB,Orlando Melbourne International Airport
MLC,KMLC,Mc Alester
MLD,,Malad City
MLE,VRMM,Male International Airport
MLF,,Milford
MLG,WARA,Abdul Rachman Saleh Airport
MLH,,EuroAirport Basel-Mulhouse-Freiburg
MLI,KMLI,Quad City International Airport
MLJ,,Baldwin County
MLK,M75,Malta
MLL,PADM,Marshall Don Hunter Sr. Airport
MLM,MMMM,Morelia Airport
MLN,GEML,Melilla Airport
MLO,LGML,Milos Airport
MLP,RPMM,Malabang
MLQ,AYMP,Malalaua
MLR,YMCT,Millicent
MLS,KMLS,Municipal
MLT,,Millinocket
MLU,KMLU,Monroe Regional Airport
MLV,YMEU,Merluna
MLW,GLMR,Sprigg Payne
MLX,LTAT,Malatya Airport
MLY,PAML,Manley Hot Springs
MLZ,SUMO,Cerro Largo
MMA,,Malmö Bulltofta Airport
MMB,RJCM,Memanbetsu Airport
MMC,MMDM,Ciudad Mante
MMD,ROMD,Maridor
MME,EGNV,Durham Tees Valley Airport
MMF,FKKF,Mamfe
MMG,YMOG,Mount Magnet
MMH,KMMH,Mammoth Lakes Airport
MMI,KMMI,McMinn County
MMJ,RJAF,Matsumoto Airport
MMK,ULMM,Murmansk Airport
MML,KMML,Municipal-Ryan Field
MMM,YMMU,Middlemount
MMN,,Minute Man Airfield
MMO,GVMA,Vila Do Maio
MMP,,Mompos
MMQ,FLBA,Mbala
MMR,,Camp Maybry AHP
MMS,KMMS,Selfs
MMT,KMMT,Mc Entire ANG Base
MMU,KMMU,Morristown Municipal Airport
MMV,AYMM,Mal
MMW,,Moma
MMX,ESMS,Malmo Airport
MMY,ROMY,Miyako Airport
MMZ,OAMN,Maimana
MNA,WAMN,Melangguane
MNB,FZAG,Moanda
MNC,FQNC,Nacala
MND,,Medina
MNE,YMUG,Mungeranie
MNF,NFMA,Mana Island Airstrip
MNG,YMGD,Maningrida Airport
MNH,OOMN,Minneriya
MNI,TRPM,Bramble Airport
MNJ,FMSM,Mananjary
MNK,NGMA,Maiana
MNL,RPLL,Ninoy Aquino International Airport
MNM,KMNM,Menominee
MNN,KMNN,Municipal
MNO,FZRA,Manono
MNP,,Maron
MNQ,YMTO,Monto
MNR,FLMG,Mongu
MNS,FLMA,Mansa
MNT,,Minto
MNU,VYMM,Maulmyine
MNV,,Mountain Valley
MNW,YMDS,Macdonald Downs
MNX,SBMY,Manicore
MNY,AGGO,Mono
MNZ,KHEF,Manassas Regional Airport/Harry P. Davis Field
MOA,MUMO,Orestes Acosta
MOB,KMOB,Mobile Regional Airport
MOC,SBMK,Montes Claros Airport
MOD,KMOD,Modesto Municipal Airport
MOE,VYMO,Momeik
MOF,WATC,Wai Oti Airport
MOG,VYMS,Mong Hsat
MOH,,Maleo Airport
MOI,NCMR,Mitiaro Island
MOJ,SMMO,Moengo
MOK,UTMN,Muynak Airport
MOL,ENML,Molde Airport Aro
MOM,GQNL,Moudjeria
MON,NZMC,Mount Cook Airport
MOO,YOOM,Moomba
MOP,,Municipal
MOQ,FMMV,Morondava Airport
MOR,,Moore-Murrell
MOS,,Intermediate
MOT,KMOT,Minot International Airport
MOU,PAMO,Mountain Village Airport
MOV,YMRB,Moranbah Airport
MOX,,Municipal
MOY,,Monterrey
MOZ,NTTM,Temae Airport
MPA,FYKM,Mpacha
MPB,X44,Miami Sea Plane Base
MPC,WIPU,Muko-Muko
MPD,OPMP,Mirpur Khas
MPE,,Griswold
MPF,AYPO,Mapoda
MPG,AYMJ,Makini
MPH,RPVE,Boracay Airport
MPI,,Mamitupo
MPJ,,Petit Jean Park
MPK,,Mokpo
MPL,LFMT,Montpellier Mediterranee Airport
MPM,FQMA,Maputo International Airport
MPN,EGYP,Mount Pleasant
MPO,KMPO,Mt Pocono
MPP,,Mulatupo
MPQ,,Maan
MPR,,Mcpherson
MPS,,Mount Pleasant
MPT,WPMN,Maliana
MPU,AYMZ,Mapua
MPV,KMPV,Edward F Knapp State
MPW,UKCM,Mariupol
MPX,AYIY,Miyanmin
MPY,SOOA,Maripasoula
MPZ,KMPZ,Municipal
MQA,YMDI,Mandora
MQB,KMQB,Municipal
MQC,LFVM,Miquelon Airport
MQD,SAVQ,Maquinchao
MQE,YMQA,Marqua
MQF,USCM,Magnitogorsk Airport
MQG,FYMG,Midgard
MQH,SWIQ,Municipal
MQI,,Quincy
MQJ,UEMA,Moma
MQK,SLTI,San Matias
MQL,YMIA,Mildura Airport
MQM,LTCR,Mardin Airport
MQN,ENRA,Mo i Rana Airport
MQO,AYMQ,Malam
MQP,FAKN,Kruger Mpumalanga International Airport
MQQ,FTTD,Moundou
MQR,,Mosquera
MQS,TVSM,Mustique
MQT,KSAW,Sawyer International Airport
MQU,SKQU,Mariquita
MQV,DA14,Mostaganem
MQW,,Telfair-Wheeler
MQX,HAMK,Makale Airport
MQY,KMQY,Smyrna
MQZ,YMGT,Margaret River
MRA,HLMS,Misurata Airport
MRB,KMRB,Eastern Wv Regional Airport/Shepherd Field
MRC,KMRC,Maury County
MRD,SVMD,A Carnevalli
MRE,,Mara Lodges Airport
MRF,KMRF,Municipal
MRG,YMBA,Mareeba
MRH,AYRV,May River
MRI,PAMR,Merrill Field
MRJ,MHMA,Marcala
MRK,KMKY,Marco Island
MRL,,Miners Lake
MRM,AYMA,Manare
MRN,KMRN,Lenoir
MRO,NZMS,Masterton/Hood Aerodrome
MRP,YALA,Marla
MRQ,RPUW,Marinduque
MRR,SEMA,Macara
MRS,LFML,Marseille Provence Airport
MRT,,Moroak
MRU,FIMP,Sir Seewoosagur Ramgoolam International Airport
MRV,URMM,Mineralnye Vody Airport
MRW,EKMB,Maribo
MRX,OIAM,Mahshahr Airport
MRY,KMRY,Monterey Regional Airport
MRZ,YMOR,Moree Airport
MSA,CZMD,Muskrat Dam
MSB,,Marigot SPB
MSC,KFFZ,Falcon Field
MSD,,Mt Pleasant
MSE,EGMH,Kent International
MSF,YMNS,Mount Swan
MSG,,Matsaile
MSH,OOMA,Masirah
MSI,,Masalembo
MSJ,RJSM,Misawa
MSK,,Mastic Point
MSL,KMSL,Northwest Alabama Regional Airport
MSM,FZCV,Masi Manimba
MSN,KMSN,Dane County Regional Airport
MSO,KMSO,Missoula International Airport
MSP,KMSP,Minneapolis-St. Paul International Airport
MSQ,UMMS,Minsk National Airport
MSR,LTCK,Mus Airport
MSS,KMSS,Richards Field
MST,EHBK,Maastricht Aachen Airport
MSU,FXMM,Moshoeshoe International Airport
MSV,KMSV,Sullivan County International
MSW,HHMS,Massawa International
MSX,FCMM,Mossendjo
MSY,KMSY,Louis Armstrong New Orleans International Airport
MSZ,FNMO,Yuri Gagarin Airport
MTA,NZMA,Matamata
MTB,SKML,Monte Libano
MTC,KMTC,Selfridge ANGB
MTD,YMSF,Mt Sandford
MTE,SNMA,Monte Alegre
MTF,HAMT,Mizan Teferi
MTG,SWVB,Mato Grosso
MTH,KMTH,Florida Keys Marathon Airport
MTI,GVMT,Mosteiros
MTJ,KMTJ,Montrose Regional Airport
MTK,NGMN,Makin Island
MTL,YMND,Maitland
MTM,PAMM,SPB
MTN,KMTN,Glenn L Martin
MTO,KMTO,Coles County Memorial
MTP,KMTP,Montauk Airport
MTQ,YMIT,Mitchell
MTR,SKMR,Los Garzones Airport
MTS,FDMS,Matsapha International
MTT,MMMT,Minatitlan Airport
MTU,,Montepuez
MTV,NVSA,Mota Lava
MTW,KMTW,Municipal
MTX,MTF,Metro Field
MTY,MMMY,Gen Mariano Escobedo Airport
MTZ,LLMZ,Masada
MUA,AGGM,Munda Airport
MUB,FBMN,Maun Airport
MUC,EDDM,Franz Josef Strauss Airport
MUD,FQMD,Mueda
MUE,PHMU,Kamuela
MUF,,Muting
MUG,MMMG,Mulege
MUH,HEMM,Mersa Matruh
MUI,KMUI,Muir AAF
MUJ,HAMR,Mui
MUK,NCMK,Mauke Island
MUL,,Spence
MUN,SVMT,Jose Tadeo Monagas International Airport
MUO,KMUO,Mountain Home AFB
MUP,YMUP,Mulga Park
MUQ,YMUC,Muccan
MUR,WBGM,Marudi Airport
MUS,RJAM,Marcus Island
MUT,KMUT,Muscatine
MUU,,Mount Union
MUW,DAOV,Mascara-Ghriss
MUX,OPMT,Multan Airport
MUY,FCBM,Mouyondzi
MUZ,HTMU,Musoma Airport
MVA,BIRL,Reykiahlid
MVB,FOON,Franceville/Mvengue
MVC,KMVC,Monroe - Walton County
MVD,SUMU,Carrasco International Airport
MVE,KMVE,Montevideo-Chippewa
MVF,SBMS,Dixsept Rosado
MVG,,Mevang
MVH,,Macksville
MVI,,Manetai
MVJ,,Marlboro
MVK,YMUK,Mulka
MVL,KMVL,Morrisville-Stowe
MVM,,Monument Valley
MVN,,Mt Vernon-Outland
MVO,FTTM,Mongo
MVP,SKMU,Mitu
MVQ,UMOO,Mogilev
MVR,FKKL,Salam
MVS,SNMU,Aeroporto Max Feffer
MVT,NTGV,Mataiva
MVU,YMGV,Musgrave
MVV,LFHM,Megeve
MVW,KBVS,Skagit Regional
MVX,FOGV,Minvoul
MVY,KMVY,Martha's Vineyard Airport
MVZ,FVMV,Masvingo
MWA,KMWA,Williamson County Airport
MWB,YMRW,Morawa
MWC,KMWC,Lawrence J Timmerman
MWD,OPMI,Mianwali
MWE,HSMN,Merowe
MWF,NVSN,Maewo
MWG,AYMW,Marawaka
MWH,KMWH,Grant County
MWI,AYRM,Maramuni
MWJ,SYMR,Matthews Ridge
MWK,WIOM,Matak
MWL,KMWL,Mineral Wells Airport
MWM,,Windom Municipal
MWN,HTMD,Mwadui
MWO,KMWO,Hook Field
MWP,,Mountain
MWQ,VYMW,Magwe
MWR,,Motswari Airfield
MWS,,Mount Wilson
MWT,YMWT,Moolawatana
MWU,,Mussau
MWV,VDMK,Mundulkiri
MWX,RKJB,Muan International Airport
MWY,YMIR,Miranda Downs
MWZ,HTMW,Mwanza Airport
MXA,KMXA,Municipal
MXB,WAAM,Masamba
MXC,,San Juan County
MXD,YMWX,Marion Downs
MXE,KMEB,Maxton
MXF,KMXF,Maxwell AFB
MXG,,Marlborough
MXH,AYMR,Moro Airport
MXI,RPMQ,Imelda Romualdez Marcos
MXJ,DNMN,Minna
MXK,AYMI,Mindik
MXL,MMML,Mexicali Airport
MXM,FMSR,Morombe
MXN,LFRU,Morlaix
MXO,,Municipal
MXP,LIMC,Milano Malpensa Airport
MXQ,SNCL,Lorenzo Airport
MXR,,Mirgorod
MXS,NSMA,Maota Savaii Island
MXT,FMMO,Maintirano
MXU,YMWA,Mullewa
MXV,ZMMN,Moron
MXW,ZMMG,Mandalgobi
MXX,ESKM,Mora Airport
MXY,PAMX,Mccarthy
MXZ,ZGMX,Mei Xian Airport
MYA,YMRY,Moruya Airport
MYB,FOOY,Mayoumba
MYC,SVBS,Maracay
MYD,HKML,Malindi Airport
MYE,RJTQ,Miyake Jima
MYF,KMYF,Montgomery Field
MYG,MYMM,Mayaguana Airport
MYH,,Marble Canyon
MYI,YMAE,Murray Island
MYJ,RJOM,Matsuyama Airport
MYK,MYK,May Creek
MYL,KMYL,Mccall
MYM,SYMM,Monkey Mountain
MYN,OYMB,Mareb
MYO,,Myroodah
MYP,UTAM,Mary Airport
MYQ,VOMY,Mysore
MYR,KMYR,Myrtle Beach International Airport
MYT,VYMK,Myitkyina Airport
MYU,PAMY,Ellis Field
MYV,KMYV,Yuba County
MYW,HTMT,Mtwara Airport
MYX,AYMC,Menyamya
MYY,WBGR,Miri Airport
MYZ,FWMY,Monkey Bay
MZA,SPMF,Mayor Pnp Nancy Flore Airport
MZB,FQMP,Mocimboa Praia
MZC,FOOM,Mitzic
MZD,,Mendez
MZE,,Manatee
MZF,,Mzamba(Wild Coast Sun)
MZG,RCQC,Magong Airport
MZH,LTAP,Merzifon Airport
MZI,GAMB,Mopti
MZJ,KMZJ,Marana
MZK,NGMK,Marakei
MZL,SKMZ,La Nubia Airport
MZM,LFSF,Frescaty
MZN,,Minj
MZO,MUMZ,Sierra Maestra Airport
MZP,NZMK,Motueka
MZQ,FAMU,Mkuze
MZR,OAMS,Mazar-I-Sharif Airport
MZS,,Mostyn
MZT,MMMZ,Mazatlan International Airport
MZU,VEMZ,Muzaffarpur
MZV,WBMU,Mulu Airport
MZW,DAAY,Mechria
MZX,,Mena
MZY,FAMO,Mossel Bay
MZZ,KMZZ,Marion
NAA,YNBR,Narrabri
NAB,,Albany NAS
NAC,YNRC,Naracoorte
NAD,,Macanal
NAE,DBBN,Natitingou
NAF,,Banaina
NAG,VANP,Dr. Babasaheb Ambedkar International Airport
NAH,WAMH,Naha
NAI,SYAN,Annai
NAJ,UBBN,Nakhichevan Airport
NAK,VTUQ,Nakhon Ratchasima
NAL,URMN,Nalchik Airport
NAM,WAPR,Namlea
NAN,NFFN,Nadi International Airport
NAO,ZUNC,Nanchong Airport
NAP,LIRN,Naples International Airport
NAQ,BGQQ,Qaanaaq Airport
NAR,SKPN,Nare
NAS,MYNN,Lynden Pindling International Airport
NAT,SBSG,Sao Goncalo do Amarante-Governador Aluizio Alves Intl Airport
NAU,NTGN,Napuka Island
NAV,LTAZ,Nevsehir
NAW,VTSC,Narathiwat Airport
NAY,ZBNY,Beijing Nanyuan Airport
NAZ,AGNA,Nana
NBA,AYNY,Nambaiyufa
NBB,SKBM,Barrancominas
NBC,UWKE,Begishevo Airport
NBE,DTNH,Enfidha - Hammamet International Airport
NBG,KNBG,NAS/Alvin Callendar
NBH,YNHS,Nambucca Heads
NBJ,FNBJ,Dr. Antonio Agostinho Neto International Airport
NBL,MPWN,San Blas
NBN,FGAB,Annobón
NBO,HKJK,Jomo Kenyatta International Airport
NBS,ZYBS,Changbaishan Airport
NBU,,NAS
NBV,,Cana Brava
NBW,MUGM,Guantanamo NAS
NBX,WABI,Nabire
NCA,MBNC,North Caicos
NCE,LFMN,Cote D'Azur Airport
NCG,MMCG,Nueva Casas Grandes
NCH,HTNA,Nachingwea
NCI,SKNC,Necocli
NCJ,SAFS,Sunchales
NCL,EGNT,Newcastle International Airport
NCN,PFCB,New Chenega
NCO,KOQU,NAS
NCR,MNSC,San Carlos
NCS,FANC,Newcastle
NCT,MRNC,Guanacaste
NCU,UTNN,Nukus Airport
NCY,LFLP,Annecy-Meythe
NDA,WAPC,Bandanaira
NDB,GQPP,Nouadhibou Airport
NDC,VAND,Nanded
NDD,FNSU,Sumbe
NDE,HKMA,Mandera
NDF,,Ndalatandos
NDG,ZYQQ,Qiqihar Airport
NDI,AYNJ,Namudi
NDJ,FTTJ,Ndjamena Airport
NDK,,Namdrik Island
NDL,FEFN,Ndele
NDM,HAMN,Mendi
NDN,AYNC,Nadunumu
NDO,,La Palma Del Condado
NDR,GMMW,Nador International Airport
NDS,YSAN,Sandstone
NDU,FYRU,Rundu
NDV,,USN Heliport
NDY,EGES,Sanday
NEA,,Brunswick Golden Isles
NEC,SAZO,Necochea
NEF,UWUF,Neftekamsk
NEG,MKNG,Negril
NEI,,Terney Airport
NEJ,HANJ,Nejjo
NEK,HANK,Nekemt
NEL,KNEL,Naec
NEN,KNEN,Olf Usn
NER,UELL,Neryungri Airport
NES,,East 34th St Landing
NET,,New Bight
NEU,VLSN,Sam Neua
NEV,TKPN,Newcastle Airport
NEW,KNEW,Lakefront Airport
NFB,,Detroit NAF
NFG,USRN,Nefteyugansk
NFL,KNFL,Fallon Naval Air Station (Van Voorhis Field)
NFO,NFTO,Mata'aho
NFR,HLNR,Nafoora
NGA,YYNG,Young
NGB,ZSNB,Ningbo Airport
NGC,,North Rim
NGD,TUPA,Captain Auguste George
NGE,FKKN,Ngaoundéré
NGF,PHNG,Marine Corps Air Station Kaneohe Bay
NGI,NFNG,Ngau Island
NGK,UHSN,Nogliki Airport
NGL,FANG,Ngala Airfield
NGN,,Nargana
NGO,RJGG,Chubu Centrair International Airport
NGP,,NAS
NGQ,ZUAL,Ngari Gunsa/Ali Kunsha
NGR,,Ningerum
NGS,RJFU,Nagasaki Airport
NGU,KNGU,NAS Chambers
NGW,,Cabaniss Field
NGX,VNMA,Manang
NGZ,,NAS
NHA,VVNT,Nha Trang
NHD,OMDM,Minhad AB
NHF,HSNW,New Halfa
NHK,KNHK,Patuxent River NAS
NHS,OPNK,Nushki
NHT,EGWU,Northolt
NHV,NTMD,Nuku Hiva Airport
NHX,KNBJ,Barin Olf Osn
NHZ,KBXM,NAS
NIA,GLNA,Nimba
NIB,PAFS,Nikolai
NIC,LCNC,Nicosia International
NIE,,Niblack
NIF,YCNF,Nifty Airport
NIG,NGNU,Nikunau
NIK,,Niokolo Koba
NIM,DRRN,Niamey Airport
NIN,,Ninilchik
NIO,FZBI,Nioki
NIP,KNIP,Jacksonville NAS
NIR,,Chase Field NAS
NIS,AYSE,Simberi
NIT,LFBN,Niort
NIU,NTKN,Niau
NIX,GANR,Nioro
NJA,RJTA,Atsugi NAS
NJC,USNN,Nizhnevartovsk Airport
NJF,ORNI,Al-Najaf International Airport
NJJ,,Nenjian Melgen Airport
NJK,KNJK,El Centro NAF
NKA,,Nkan
NKB,YNKA,Noonkanbah
NKC,GQNO,Nouakchott International Airport
NKD,,Sinak
NKG,ZSNJ,Nanjing Lukou International Airport
NKI,AK62,Naukiti
NKL,FZAR,Nkolo
NKM,RJNA,Nagoya Airport
NKN,AYNA,Nankina
NKO,,Ankokoambo
NKP,NTKU,Nakhon Phanom Airport
NKS,FKAN,Nkongsamba
NKT,LTCV,Shirnak
NKU,FXNK,Nkaus
NKV,,Nichen Cove
NKX,KNKX,Miramar MS
NKY,FCBY,Nkayi
NLA,FLSK,Simon Mwansa Kapwepwe International Airport
NLC,KNLC,Lemoore NAS (Reeves Field)
NLD,MMNL,Quetzalcoatl International Airport
NLE,3TR,Jerry Tyler Memorial
NLF,YDNI,Darnley Island
NLG,PAOU,Nelson Lagoon
NLH,ZPNL,Ninglang Luguhu Airport
NLI,UHNN,Nikolaevsk-na-Amure
NLK,YSNF,Norfolk Island Airport
NLL,YNUL,Nullagine
NLN,O19,Kneeland
NLO,FZAB,N'dolo
NLP,FANS,Nelspruit Airport
NLS,YNIC,Nicholson
NLT,ZWNL,Nalati Airport
NLU,MMSM,Santa Lucia
NLV,UKON,Nikolaev (Mykolaiv)
NMA,UTFN,Namangan Airport
NMB,VADN,Daman
NMC,MYEN,Norman's Cay
NME,PAGT,Nightmute Airport
NMF,VRDA,Maafaru International Airport
NMG,,San Miguel
NMI,,Navi Mumbai International Airport
NML,CER4,Mildred Lake
NMN,AYNO,Nomane
NMP,YNMN,New Moon
NMR,YNAP,Nappa Merry
NMS,VYNS,Namsang
NMT,VYNU,Namtu
NMU,,Namu
NNA,GMMY,NAF
NNB,AGGT,Santa Ana Airport
NND,,Nangade
NNG,ZGNN,Nanning Airport
NNI,FYNA,Namutoni
NNK,5NK,Naknek
NNL,PANO,Nondalton
NNM,ULAM,Naryan-Mar Airport
NNR,EICA,Connemara
NNT,VTCN,Nan Airport
NNU,SNNU,Nanuque
NNX,WAQA,Nunukan Airport
NNY,ZHNY,Nanyang Airport
NOA,YSNW,Nowra
NOB,MRNS,Nosara Beach
NOC,EIKN,Ireland West Airport Knock
NOD,EDWS,Norden Norddeich Airport
NOG,MMNG,Nogales
NOH,,Chicago NAS
NOI,,Novorossijsk
NOJ,USRO,Nojabrxsk Airport
NOK,SWXV,Nova Xavantina
NOL,,Nakolik River
NOM,,Nomad River
NON,NGTO,Nonouti
NOO,,Naoro
NOP,LTCM,Sinop Airport - Turkey
NOR,BINF,Nordfjordur
NOS,FMNN,Fascene Airport
NOT,KDVO,Novato
NOU,NWWW,Tontouta Airport
NOV,FNHU,Huambo
NOZ,UNWW,Novokuznetsk Airport
NPA,KNPA,Pensacola NAS
NPE,NZNR,Hawkes Bay Airport
NPG,,Nipa
NPH,U14,Nephi
NPL,NZNP,New Plymouth Airport
NPO,WIOG,Nangapinoh
NPP,YNPB,Napperby
NPR,SJNP,Novo Progresso Municipal
NPT,KUUU,State
NPU,,San Pedro Uraba
NPY,HTMP,Mpanda Airport
NQA,KNQA,Millington Regional Jetport
NQI,KNQI,NAS
NQL,SWNQ,Niquelandia
NQN,SAZN,Presidente Peron International Airport
NQT,EGBN,Nottingham Airport
NQU,SKNQ,Nuqui
NQX,KNQX,Key West NAS /Boca Chica Field (private U. S. Navy )
NQY,EGHQ,Newquay Cornwall Airport
NQZ,UACC,Nursultan Nazarbayev International Airport
NRA,YNAR,Narrandera
NRB,KNRB,Mayport Naval Station (Adm David L Mcdonald Field)
NRC,KNRC,Aux Field
NRD,EDWY,Norderney
NRE,WAPG,Namrole
NRG,YNRG,Narrogin
NRI,3O9,Shangri-la
NRK,ESSP,Kungsangen Airport
NRL,EGEN,North Ronaldsay Airport
NRM,GANK,Nara
NRN,EDLV,Weeze Airport
NRR,TJRV,Roosevelt NAS
NRS,KNRS,Imperial Beach Nolf (Ream Field)
NRT,RJAA,Narita International Airport
NRY,,Newry
NSB,,North SPB
NSE,KNSE,Whiting Field NAS
NSF,,Andrews NAF
NSH,OINN,Now Shahr Airport
NSI,FKYS,Nsimalen Airport
NSK,UOOO,Noril'sk Airport
NSL,KDVP,Slayton Municipal
NSM,YNSM,Norseman
NSN,NZNS,Nelson Airport
NSO,YSCO,Scone
NSP,,NAF
NSR,SWKY,São Raimundo Nonato Airport
NST,VTSF,Nakhon Si Thammarat Airport
NSV,YNSH,Noosaville
NSX,,Hovercraft/Launch Pt
NSY,LICZ,NAS Sigonella
NTA,,Natadola
NTB,ENNO,Notodden Airport
NTC,,Santa Carolina
NTD,KNTD,Point Mugu NAS (Naval Base Ventura County
NTE,LFRS,Nantes Atlantique Airport
NTG,ZSNT,Nantong Xingdong Airport
NTI,WASB,Bintuni
NTJ,41U,Manti-Ephraim
NTL,YWLM,Newcastle Airport
NTM,,Miracema Do Norte
NTN,YNTN,Normanton Airport
NTO,GVAN,Santo Antao
NTQ,RJNW,Noto Airport
NTR,MMAN,Aeropuerto del Norte International Airport
NTT,NFTP,Kuini Lavenia
NTU,KNTU,NAS
NTX,WIDO,Natuna Ranai
NTY,FAPN,Pilanesberg International Airport
NUA,,Gregory's Lake
NUB,YNUM,Numbulwar
NUD,HSNH,En Nahud
NUE,EDDN,Nuremberg Airport
NUF,,Castlereigh Reservoir Waterdrome
NUG,AYNI,Nuguria
NUH,,Nunchia
NUI,PAQT,Nuiqsut Airport
NUJ,,Nojeh
NUK,NTGW,Nukutavake
NUL,PANU,Nulato Airport
NUM,OENN,Neom Airport
NUN,,Saufley NAS
NUP,PPIT,Nunapitchuk
NUQ,KNUQ,Moffett Field
NUR,YNUB,Nullarbor
NUS,NVSP,Norsup Airport
NUT,,Nutuve
NUU,HKNK,Nakuru
NUW,KNUW,Whidbey Island NAS (Ault Field)
NUX,USMU,Novy Urengoy Airport
NVA,SKNV,Benito Salas Airport
NVD,,Nevada
NVG,MNNG,Nueva Guinea
NVI,UTSA,Navoi Airport
NVK,,Framnes
NVM,,Brigadeiro Eduardo Gomes Airport
NVN,KO02,Nervino
NVP,SWNA,Novo Aripuana
NVR,ULNN,Novgorod
NVS,LFQG,Nevers
NVT,SBNF,Navegantes Airport
NVY,VONV,Neyveli
NWA,FMCI,Moheli
NWH,,Parlin Field
NWI,EGSH,Norwich International Airport
NWP,,NS
NWS,,Pier 11/Wall St. SPB
NWT,,Nowata
NWU,,Bermuda NAS
NXX,,Willow Grove NAS
NYA,USHN,Nyagan Airport
NYE,HKNI,Nyeri
NYG,,Quantico NAS
NYI,DGSN,Sunyani
NYK,HKNL,Nanyuki
NYM,USMM,Nadym Airport
NYN,YNYN,Nyngan
NYO,ESKN,Stockholm Skavsta Airport
NYR,UENN,Nyurba Airport
NYS,,New York Skyports Seaplane Base
NYT,VYNT,Nay Pyi Taw Airport
NYU,VYBG,Nyaung U Airport
NYW,VYMY,Monywar Airport
NZA,FNZG,Nzagi
NZC,SPZA,Maria Reiche Neuman Airport
NZE,GUNZ,Nzerekore
NZG,UIUN,Nizhneangarsk Airport
NZH,ZBMZ,Manzhouli Airport
NZL,ZBZL,Zhalantun Chengjisihan Airport
NZW,,South Weymouth
NZY,KNZY,North Island NAS
OAA,OASH,Shank Air Base
OAG,YORG,Orange Airport
OAH,OASD,Shindand Air Base
OAI,OAIX,Bagram
OAJ,KOAJ,Albert J Ellis Airport
OAK,KOAK,San Francisco Bay Oakland International Airport
OAL,SSKW,Cacoal Airport
OAM,NZOU,Oamaru
OAN,MHOA,Olanchito
OAR,KOAR,Marina Municipal
OAS,OASA,Sharana Air Base
OAX,MMOX,Xoxocotlan Airport
OAZ,OAZI,Camp Bastion
OBA,,Oban
OBC,HDOB,Obock
OBD,WABR,Obano
OBE,KOBE,County
OBF,EDMO,Oberpfaffenhofen
OBI,SNTI,Obidos
OBK,,Sky Harbor
OBL,,Zoersel
OBM,AYMB,Morobe
OBN,EGEO,Oban Airport
OBO,RJCB,Tokachi-Obihiro Airport
OBS,LFHO,Vals-Lanas
OBT,,Oakland/Coliseum Stat
OBU,PAOB,Kobuk/Wien Airport
OBX,AYOB,Obo
OBY,,Ittoqqortoormiit
OCA,07FA,Ocean Reef
OCC,SECO,Coca Airport
OCE,KOXB,Municipal
OCF,KOCF,Taylor Field
OCH,KOCH,A L Mangham Jr. Regional
OCI,,Oceanic
OCJ,MKBS,Boscobel
OCM,YBGD,Boolgeeda
OCN,KOKB,Municipal
OCS,,Corisco International Airport
OCV,SKOC,Aguasclaras
OCW,KOCW,Warren Field
ODA,FEFW,Ouadda
ODB,LEBA,Cordoba
ODC,O27,Oakdale
ODD,YOOD,Oodnadatta
ODE,EKOD,Beldringe
ODH,EGVO,Odiham RAF Station
ODJ,FEGO,Ouanda Djalle
ODL,YCOD,Cordillo Downs
ODM,,Garrett County Airport
ODN,WBGI,Long Seridan Airport
ODO,UIKB,Bodaybo Airport
ODR,YORV,Ord River
ODS,UKOO,Odessa International Airport
ODT,KODO,Odessa-Schlemeyer Field
ODW,KOKH,Oak Harbor
ODY,VLOS,Oudomxay Airport
OEA,,Oneal
OEC,WPOC,Ocussi
OEL,UUOR,Orel
OEM,SMPA,Vincent Fayks
OEO,KOEO,Municipal
OER,ESNO,Ornskoldsvik Airport
OES,SAVN,San Antonio Oeste
OFF,KOFF,Offutt Air Force Base
OFI,DIOF,Ouango Fitini
OFJ,BIOF,Olafsfjordur
OFK,KOFK,Stefan Field
OFU,NSAS,Airstrip
